                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76102,                 0.5407,                 1.0104,                0.88869,                0.91249,                 0.9669,                0.77486,                 0.7182,                0.58351,                 1.0148,               0.006634,               0.006634,               0.006634
                     36,                0.78122,                0.53874,                 1.0017,                0.94088,                0.90961,                0.95128,                0.74562,                0.80419,                0.56043,                 1.0866,               0.006535,               0.006535,               0.006535
                     37,                0.79683,                0.56904,                 1.0272,                0.94132,                0.91676,                0.94316,                 0.7522,                0.83569,                0.53357,                 1.1646,               0.006436,               0.006436,               0.006436
                     38,                0.81042,                0.54978,                 1.0287,                 0.8838,                0.97143,                0.92814,                0.76479,                0.76513,                0.50604,                 1.1116,               0.006337,               0.006337,               0.006337
                     39,                0.77771,                0.55325,                 1.0191,                0.89927,                0.85714,                0.90839,                0.73222,                0.82941,                0.58103,                 1.1558,               0.006238,               0.006238,               0.006238
                     40,                0.78547,                0.56835,                 1.0167,                0.84019,                0.90145,                0.93374,                0.74862,                0.69709,                 0.6472,                 1.0428,               0.006139,               0.006139,               0.006139
                     41,                0.76935,                0.55333,                 1.0146,                0.96844,                0.87696,                0.95989,                0.75879,                0.79192,                0.61374,                 1.0638,                0.00604,                0.00604,                0.00604
                     42,                0.78037,                0.53851,                 1.0068,                 0.8494,                0.97143,                0.95906,                0.75003,                0.78422,                0.56831,                 1.0911,               0.005941,               0.005941,               0.005941
                     43,                0.77488,                0.55721,                 1.0143,                0.90266,                0.97143,                0.96415,                0.77448,                0.71069,                0.52375,                 1.0372,               0.005842,               0.005842,               0.005842
                     44,                0.74931,                0.52578,                 1.0089,                0.90792,                0.97143,                0.97634,                0.82944,                 0.6409,                0.46902,                0.98415,               0.005743,               0.005743,               0.005743
                     45,                0.73396,                0.54037,                 1.0123,                 0.9353,                0.88571,                 0.9653,                0.76719,                0.73734,                0.55711,                 1.0722,               0.005644,               0.005644,               0.005644
                     46,                0.78166,                0.54218,                 1.0121,                0.87234,                      1,                0.95699,                0.75843,                0.72819,                0.63295,                 1.0707,               0.005545,               0.005545,               0.005545
                     47,                0.73695,                0.51511,                 0.9989,                0.89404,                0.96438,                0.94536,                0.79451,                0.64361,                0.61754,                0.97388,               0.005446,               0.005446,               0.005446
                     48,                 0.7595,                0.50446,                  1.001,                0.90642,                0.97143,                0.93921,                0.76924,                0.62248,                 0.5187,                0.97589,               0.005347,               0.005347,               0.005347
                     49,                0.75867,                 0.5084,                 1.0032,                0.94302,                      1,                0.97275,                0.78716,                0.68495,                0.50357,                0.98653,               0.005248,               0.005248,               0.005248
                     50,                0.73693,                0.50344,                0.99718,                0.89391,                      1,                0.97983,                0.82489,                0.64372,                0.47283,                0.97914,               0.005149,               0.005149,               0.005149
                     51,                0.72813,                0.48752,                0.98031,                0.94427,                0.96827,                0.97688,                0.83618,                0.62991,                0.46849,                0.96597,                0.00505,                0.00505,                0.00505
                     52,                0.76587,                0.52218,                   1.01,                0.78043,                0.91398,                0.83775,                0.63075,                0.98374,                0.86625,                 1.3217,               0.004951,               0.004951,               0.004951
                     53,                0.69752,                0.47622,                0.99054,                 0.9154,                      1,                0.98248,                0.80416,                0.69728,                0.47571,                 1.0468,               0.004852,               0.004852,               0.004852
                     54,                0.75333,                0.53557,                 1.0051,                0.93028,                0.97143,                0.97691,                0.80923,                0.68614,                 0.4705,                 1.0794,               0.004753,               0.004753,               0.004753
                     55,                0.71659,                0.48306,                0.99554,                0.97139,                0.97009,                0.97065,                0.81671,                0.68149,                0.49806,                  1.067,               0.004654,               0.004654,               0.004654
                     56,                0.73451,                0.50033,                 1.0034,                0.93849,                0.97143,                0.96306,                0.78688,                0.70594,                0.51941,                 1.0084,               0.004555,               0.004555,               0.004555
                     57,                0.69222,                0.47243,                0.97218,                0.88725,                0.89949,                0.92753,                0.75688,                0.75161,                0.66224,                  1.043,               0.004456,               0.004456,               0.004456
                     58,                0.72469,                0.46358,                0.98685,                0.94242,                0.93535,                0.97041,                0.75532,                0.73724,                0.50771,                 1.0276,               0.004357,               0.004357,               0.004357
                     59,                0.71902,                0.47132,                0.98493,                0.87442,                0.99479,                0.97301,                0.79135,                0.70089,                0.48499,                 1.0077,               0.004258,               0.004258,               0.004258
                     60,                0.69377,                0.46789,                0.99055,                0.94407,                0.96465,                0.96488,                0.79964,                0.68528,                0.56049,                0.99549,               0.004159,               0.004159,               0.004159
                     61,                0.70873,                0.46895,                 0.9782,                0.97039,                0.93656,                 0.9624,                0.81225,                0.64936,                0.60108,                0.97311,                0.00406,                0.00406,                0.00406
                     62,                0.67983,                0.46018,                0.96792,                0.93204,                0.85714,                0.92622,                0.74789,                0.75532,                0.83966,                 1.0373,               0.003961,               0.003961,               0.003961
                     63,                 0.7233,                0.47807,                0.99523,                0.92085,                0.99735,                0.95795,                0.78318,                0.66795,                0.54304,                0.99177,               0.003862,               0.003862,               0.003862
                     64,                0.71241,                0.48064,                0.99635,                0.90655,                0.94286,                0.96139,                0.80576,                0.72434,                0.53066,                 1.0697,               0.003763,               0.003763,               0.003763
                     65,                0.69971,                 0.4635,                  0.972,                0.94188,                      1,                0.97678,                0.81339,                0.62955,                0.45469,                0.98135,               0.003664,               0.003664,               0.003664
                     66,                0.68124,                0.45451,                0.98067,                0.94257,                      1,                0.97655,                0.81436,                0.63052,                0.46521,                0.98746,               0.003565,               0.003565,               0.003565
                     67,                0.70041,                0.45613,                0.98091,                0.92116,                0.97143,                0.96365,                0.82463,                 0.6574,                0.54709,                 1.0108,               0.003466,               0.003466,               0.003466
                     68,                0.69836,                0.46523,                0.98529,                0.96239,                0.97143,                0.97236,                0.82288,                0.67745,                0.40959,                0.97272,               0.003367,               0.003367,               0.003367
                     69,                0.68921,                0.44522,                0.97885,                0.96528,                0.97143,                0.97495,                0.81987,                0.69227,                0.42799,                0.99514,               0.003268,               0.003268,               0.003268
                     70,                0.67288,                0.43715,                0.97279,                0.93925,                0.97143,                0.95966,                0.81674,                0.59273,                0.55355,                0.96402,               0.003169,               0.003169,               0.003169
                     71,                0.68258,                0.45212,                0.99061,                0.94292,                      1,                 0.9835,                0.80935,                0.63688,                0.45729,                0.98089,                0.00307,                0.00307,                0.00307
                     72,                0.69461,                0.45043,                0.98413,                0.96842,                0.97143,                0.98199,                 0.7944,                0.77609,                0.51232,                  1.069,               0.002971,               0.002971,               0.002971
                     73,                0.67615,                0.46251,                0.95888,                0.97216,                0.99761,                0.98806,                0.82282,                0.67791,                0.43082,                 1.0155,               0.002872,               0.002872,               0.002872
                     74,                0.66219,                0.42734,                 0.9779,                0.94075,                0.97143,                0.97426,                0.79018,                0.71994,                0.55916,                0.99704,               0.002773,               0.002773,               0.002773
                     75,                0.66506,                0.42312,                 0.9717,                 0.9411,                0.94286,                0.95322,                0.80523,                0.68194,                0.54846,                0.97864,               0.002674,               0.002674,               0.002674
                     76,                0.68602,                0.43171,                0.98304,                0.89223,                      1,                0.97712,                0.81509,                0.70199,                0.46447,                0.97593,               0.002575,               0.002575,               0.002575
                     77,                0.67238,                0.42936,                0.96279,                 0.9433,                      1,                0.98377,                0.82557,                0.62693,                0.41098,                0.94066,               0.002476,               0.002476,               0.002476
                     78,                 0.6446,                0.41614,                0.96362,                0.94185,                      1,                 0.9734,                0.83311,                0.56842,                0.41675,                0.92734,               0.002377,               0.002377,               0.002377
                     79,                0.64913,                0.41081,                0.95773,                0.97198,                0.99126,                   0.98,                0.81055,                0.61901,                0.45415,                0.95473,               0.002278,               0.002278,               0.002278
                     80,                0.63055,                0.39868,                 0.9481,                0.93875,                0.97143,                 0.9623,                0.80483,                0.65288,                0.51132,                0.98051,               0.002179,               0.002179,               0.002179
                     81,                0.65004,                0.41177,                0.96443,                0.92188,                0.97143,                0.97385,                0.79492,                0.63513,                0.48646,                 0.9837,                0.00208,                0.00208,                0.00208
                     82,                0.64696,                0.40783,                0.97004,                0.89159,                0.97143,                0.95638,                0.80827,                0.62306,                0.50412,                0.96897,               0.001981,               0.001981,               0.001981
                     83,                0.64284,                0.39265,                0.96795,                0.92395,                0.94286,                0.97014,                0.81742,                0.61875,                 0.4669,                0.94513,               0.001882,               0.001882,               0.001882
                     84,                 0.6592,                 0.3992,                0.96323,                 0.9136,                0.97143,                0.96237,                0.82537,                0.59732,                0.54906,                 0.9447,               0.001783,               0.001783,               0.001783
                     85,                0.65775,                0.43424,                0.95547,                0.90797,                0.97143,                0.95677,                0.82398,                0.62452,                0.52085,                0.95498,               0.001684,               0.001684,               0.001684
                     86,                0.63455,                0.39604,                0.96199,                0.93837,                0.97143,                0.95349,                0.80957,                0.63051,                0.48574,                0.96437,               0.001585,               0.001585,               0.001585
                     87,                 0.6302,                0.39518,                0.95213,                0.95635,                      1,                0.97222,                0.80246,                0.67551,                0.41548,                0.99098,               0.001486,               0.001486,               0.001486
                     88,                0.60541,                0.39324,                0.95491,                 0.9559,                      1,                0.97833,                0.82967,                0.60192,                0.39182,                0.94889,               0.001387,               0.001387,               0.001387
                     89,                0.63836,                0.39548,                0.96294,                0.96075,                      1,                0.98639,                0.84111,                 0.6064,                0.36501,                0.94874,               0.001288,               0.001288,               0.001288
                     90,                 0.6291,                 0.3952,                 0.9555,                0.94423,                      1,                0.98735,                0.82695,                0.60558,                0.38531,                0.95153,               0.001189,               0.001189,               0.001189
                     91,                0.62904,                0.39527,                0.95767,                 0.9362,                0.97143,                0.98083,                0.84548,                0.57807,                0.38114,                0.93352,                0.00109,                0.00109,                0.00109
                     92,                0.62048,                0.38241,                0.96114,                0.89234,                      1,                0.97206,                0.82693,                0.58219,                0.36291,                0.92967,               0.000991,               0.000991,               0.000991
                     93,                0.60545,                0.36541,                0.94839,                 0.9714,                0.97054,                0.98428,                0.85582,                0.55793,                0.35714,                0.92307,               0.000892,               0.000892,               0.000892
                     94,                0.62381,                0.40214,                0.96277,                0.97193,                0.98946,                0.98639,                0.85643,                0.58498,                 0.3493,                0.93752,               0.000793,               0.000793,               0.000793
                     95,                0.61923,                0.37878,                0.94667,                0.95291,                      1,                0.98472,                0.86285,                0.57984,                0.36678,                0.93344,               0.000694,               0.000694,               0.000694
                     96,                0.58985,                0.37256,                0.95127,                0.94592,                      1,                0.98639,                0.86003,                0.59975,                0.36475,                0.94165,               0.000595,               0.000595,               0.000595
                     97,                0.60255,                0.37145,                0.94662,                0.92096,                0.99875,                0.97436,                 0.8487,                 0.6139,                0.36205,                0.94839,               0.000496,               0.000496,               0.000496
                     98,                0.61146,                0.37689,                0.95216,                0.96247,                0.97143,                0.98028,                0.85286,                0.59043,                0.35537,                0.94028,               0.000397,               0.000397,               0.000397
                     99,                0.57844,                0.35011,                 0.9362,                0.95792,                0.97143,                0.97942,                0.85972,                0.57182,                0.35191,                0.93258,               0.000298,               0.000298,               0.000298
