               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.020312,           0.0093603,                   0,              0.9588,             0.93084,             0.97972,             0.79176,            0.010696,           0.0042586,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.018838,           0.0094367,                   0,             0.94609,             0.94667,             0.98083,             0.78199,            0.010951,            0.004276,                   0,             0.00298,             0.00298,             0.00298
                  41,            0.019617,            0.010003,                   0,             0.95867,             0.94667,             0.98242,             0.79035,            0.010844,           0.0042633,                   0,              0.0028,              0.0028,              0.0028
                  42,            0.018446,           0.0093301,                   0,             0.95817,             0.94667,             0.97794,             0.79802,            0.010858,           0.0043716,                   0,             0.00262,             0.00262,             0.00262
                  43,            0.018865,           0.0097013,                   0,             0.95938,             0.94473,             0.98072,             0.80866,            0.010476,           0.0044351,                   0,             0.00244,             0.00244,             0.00244
                  44,            0.020194,           0.0089113,                   0,             0.93218,             0.94667,             0.97521,             0.79003,            0.010875,           0.0044193,                   0,             0.00226,             0.00226,             0.00226
                  45,            0.018024,           0.0089421,                   0,             0.92276,             0.95573,             0.97358,             0.80377,            0.010271,           0.0044379,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.019455,           0.0095505,                   0,             0.94729,             0.95843,             0.98505,             0.81266,            0.010302,           0.0043299,                   0,              0.0019,              0.0019,              0.0019
                  47,            0.018034,           0.0096126,                   0,             0.95767,             0.94667,             0.98175,             0.80735,            0.010545,            0.004351,                   0,             0.00172,             0.00172,             0.00172
                  48,            0.020644,           0.0093018,                   0,             0.95849,             0.94667,             0.97875,               0.799,            0.010337,           0.0043385,                   0,             0.00154,             0.00154,             0.00154
                  49,             0.01877,           0.0092807,                   0,             0.95761,             0.94667,             0.96452,               0.792,            0.010502,           0.0044931,                   0,             0.00136,             0.00136,             0.00136
                  50,            0.017845,           0.0093223,                   0,             0.95841,             0.94667,             0.97108,              0.8017,            0.010633,           0.0043445,                   0,             0.00118,             0.00118,             0.00118
                  51,            0.018206,            0.009083,                   0,             0.95862,             0.94667,             0.98015,             0.81103,            0.010616,           0.0041745,                   0,               0.001,               0.001,               0.001
                  52,            0.017555,           0.0087995,                   0,             0.95887,             0.94667,             0.98259,             0.81623,            0.010356,            0.004281,                   0,             0.00082,             0.00082,             0.00082
                  53,             0.01941,           0.0088352,                   0,             0.95892,             0.94667,             0.98264,             0.80872,            0.010456,           0.0042253,                   0,             0.00064,             0.00064,             0.00064
                  54,            0.018503,           0.0090052,                   0,              0.9585,             0.94667,             0.98351,             0.81454,            0.010488,           0.0041541,                   0,             0.00046,             0.00046,             0.00046
